S.No,name,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,popularity,isAlive,have_high_title
20,Willit,no_title,1,unknown,,House Swyft,0,1,0,0,0,0,0,,0,0.0100334448160535,1,0
21,Willis Wode,no_title,1,unknown,,House Wode,1,0,0,1,0,0,1,,0,0.020066889632107,1,0
22,Willis Fell,no_title,0,unknown,,House Fell,0,0,0,0,0,0,1,,0,0.0234113712374581,1,0
23,Willow Heddle,no_title,0,unknown,289.0,Brotherhood Without Banners,0,0,0,1,0,0,0,16.0,0,0.0334448160535117,1,0
24,Willum,no_title,1,unknown,,unknown,1,0,0,0,0,0,1,,0,0.0,1,0
25,Wolmer,no_title,1,unknown,,House Webber,0,0,0,0,0,0,0,,0,0.0033444816053511,1,0
26,Willow Witch-eye,no_title,0,Free Folk,,unknown,0,0,0,0,1,0,0,,0,0.0501672240802675,0,0
27,Woth,no_title,1,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0301003344481605,0,0
28,Wulfe,no_title,1,Ironborn,,House Greyjoy,0,0,0,1,1,0,0,,0,0.0234113712374581,1,0
29,Wyl the Whittler,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0066889632107023,1,0
30,Wyl (guard),no_title,0,Northmen,,House Stark,1,0,0,0,0,0,0,,0,0.0267558528428093,0,0
31,Wyl Waynwood,no_title,0,unknown,,House Waynwood,0,0,0,0,0,0,0,,0,0.0133779264214046,0,0
32,Wun Weg Wun Dar Wun,no_title,1,unknown,,unknown,0,0,0,0,1,0,0,,0,0.0501672240802675,1,0
33,Wylla,no_title,1,unknown,,House Dayne,1,0,1,0,0,0,0,,0,0.0267558528428093,1,0
34,Wynafryd Manderly,no_title,0,unknown,280.0,House Manderly,0,0,0,1,1,0,0,25.0,0,0.0568561872909698,1,0
35,Xhondo,no_title,1,Summer Isles,,unknown,0,0,0,1,0,0,0,,0,0.020066889632107,1,0
36,Ygon Farwynd,no_title,1,unknown,,House Farwynd of the Lonely Light,0,0,0,1,0,0,0,,0,0.0100334448160535,1,0
37,Yna,no_title,1,unknown,,Happy Port,0,0,0,1,0,0,0,,0,0.020066889632107,1,0
38,Yohn Farwynd,no_title,1,Ironborn,,House Farwynd of the Lonely Light,0,0,0,1,0,0,0,,0,0.0100334448160535,1,0
39,Yorkel,no_title,0,unknown,,House Targaryen,0,0,0,0,0,0,0,,0,0.0,1,0
40,Yorko Terys,no_title,1,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0234113712374581,1,0
41,Yormwell,no_title,0,unknown,,unknown,0,0,0,0,0,0,1,,0,0.0033444816053511,1,0
42,Young Henly,no_title,1,unknown,240.0,Night's Watch,0,0,1,0,0,0,0,59.0,0,0.0133779264214046,0,0
43,Ysilla,no_title,0,unknown,,unknown,0,0,0,0,1,1,0,,0,0.040133779264214,1,0
44,Zarabelo,no_title,0,unknown,,unknown,0,0,0,1,0,0,1,,0,0.0066889632107023,1,0
45,Zei,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0133779264214046,1,0
46,Zekko,no_title,1,Dothraki,,unknown,0,0,0,0,1,0,0,,0,0.0133779264214046,1,0
47,Zharaq zo Loraq,no_title,1,Ghiscari,,House of Loraq,0,0,0,0,1,0,0,,0,0.0100334448160535,1,0
48,Wenda,no_title,0,unknown,,Kingswood Brotherhood,0,0,1,1,0,0,0,,0,0.0167224080267558,1,0
49,Wex Pyke,no_title,1,Ironborn,286.0,House Botley,0,1,1,1,1,0,0,19.0,0,0.113712374581939,1,0
50,Timett,no_title,1,Vale mountain clans,278.0,Burned Men,1,1,1,0,1,0,1,27.0,0,0.0735785953177257,1,0
51,Joffrey Baratheon,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,5,1.0,0,0
52,Laenor Velaryon,no_title,1,Valyrian,94.0,House Velaryon,0,0,0,0,0,1,1,26.0,0,0.193979933110367,0,0
53,Leobald Tallhart,no_title,1,Northmen,,House Tallhart,0,1,1,1,1,1,1,,0,0.110367892976588,0,0
54,Maegor I Targaryen,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,0,0.705685618729097,0,0
55,Margaery Tyrell,no_title,0,Reach,283.0,House Tyrell,1,1,1,1,1,1,1,22.0,3,1.0,1,0
56,Naerys Targaryen,no_title,0,Valyrian,138.0,House Targaryen,1,0,0,0,0,1,1,100.0,12,0.220735785953177,0,0
57,Quence,no_title,0,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.020066889632107,1,0
58,Quellon Botley,no_title,1,Ironborn,,House Botley,0,0,0,1,0,0,0,,0,0.0468227424749163,1,0
59,Quellon Greyjoy,Lord,1,Ironborn,,House Greyjoy,0,0,0,1,0,1,1,,0,0.0903010033444816,0,1
60,Quentyn Blackwood,Lord,0,unknown,,House Blackwood,0,0,0,0,0,0,1,,0,0.020066889632107,0,1
61,Quenton Greyjoy,no_title,1,Ironborn,,House Greyjoy,0,0,0,1,0,0,0,,0,0.060200668896321,1,0
62,Quhuru Mo,no_title,1,Summer Isles,,unknown,0,1,0,1,0,0,0,,0,0.040133779264214,1,0
63,Quickfinger,no_title,1,unknown,,House Blackfyre,0,0,0,0,0,0,0,,0,0.0100334448160535,1,0
64,Quill,no_title,1,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
65,Quentin Tyrell,no_title,0,unknown,,House Tyrell,0,0,1,1,0,0,1,,0,0.127090301003344,1,0
66,Quort,no_title,1,unknown,285.0,wildling,0,0,1,0,0,0,0,14.0,0,0.0100334448160535,0,0
67,Qyle,no_title,1,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0133779264214046,0,0
68,Rafe,no_title,0,unknown,,unknown,0,0,0,0,0,0,0,,0,0.0066889632107023,1,0
69,Racallio Ryndoon,no_title,1,Tyroshi,,Kingdom of the Three Daughters,0,0,0,0,0,0,0,,0,0.0100334448160535,1,0
70,Ragnor Pyke,no_title,0,Ironborn,,House Greyjoy,0,0,0,1,0,0,0,,0,0.0100334448160535,1,0
71,Rainbow Knight,no_title,0,unknown,,unknown,1,0,0,0,0,0,0,,0,0.0033444816053511,1,0
72,Randa,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0033444816053511,1,0
73,Rast,no_title,1,unknown,,Night's Watch,1,1,1,0,0,0,0,,0,0.0668896321070234,0,0
74,Rawney,no_title,1,unknown,,unknown,0,0,0,1,0,0,1,,0,0.0100334448160535,1,0
75,Raymar Royce,Lord,1,unknown,,House Royce of the Gates of the Moon,0,0,1,0,0,0,1,,0,0.0133779264214046,1,1
76,Raymond Nayland,no_title,0,unknown,,House Nayland,0,0,0,1,0,0,1,,0,0.0167224080267558,1,0
77,Raymund Tyrell,no_title,0,unknown,,House Tyrell,0,0,1,1,0,0,0,,0,0.127090301003344,1,0
78,Red Oarsman,no_title,0,Ironborn,,unknown,0,0,0,1,1,0,0,,0,0.0167224080267558,1,0
79,Red Lamb,no_title,1,Lhazarene,,House Targaryen,0,0,0,0,0,0,1,,0,0.0,1,0
80,Redtusk,no_title,1,unknown,,unknown,0,0,0,0,0,0,1,,0,0.0167224080267558,1,0
81,Red Rolfe,no_title,1,unknown,,House Greyjoy,0,1,0,0,0,0,0,,0,0.0133779264214046,0,0
82,Redwyn,no_title,0,unknown,,Night's Watch,0,1,0,0,0,0,0,,0,0.0066889632107023,1,0
83,Reynard Webber,Lord,0,unknown,,House Webber,0,0,0,0,0,0,1,,0,0.0066889632107023,1,1
84,Reysen,no_title,1,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0234113712374581,1,0
85,Rhaegel Targaryen,Prince,1,Valyrian,173.0,House Targaryen,0,0,0,0,0,1,1,42.0,3,0.0969899665551839,0,1
86,Rhaena Targaryen (daughter of Daemon),Lady,0,unknown,116.0,House Targaryen,0,0,0,0,0,1,1,100.0,0,0.1438127090301,0,1
87,Rhaena Targaryen (daughter of Aegon III),no_title,0,Valyrian,147.0,House Targaryen,0,0,0,0,0,0,1,100.0,0,0.0735785953177257,0,0
88,Rhaenys Targaryen,no_title,0,Valyrian,-25.0,House Targaryen,1,0,0,0,0,1,1,35.0,1,0.277591973244147,0,0
89,Rhaenys Targaryen (daughter of Rhaegar),no_title,0,unknown,280.0,House Targaryen,1,1,1,1,1,0,1,3.0,10,0.244147157190635,0,0
90,Rhialta Vance,no_title,0,unknown,,House Vance of Wayfarer's Rest,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
91,Rhaenys Targaryen (daughter of Aemon),no_title,0,Valyrian,74.0,House Targaryen,0,0,0,0,0,1,1,55.0,0,0.1438127090301,0,0
92,Rhonda Rowan,no_title,0,unknown,,House Rowan,0,0,0,1,0,1,0,,0,0.0501672240802675,1,0
93,Richard Farrow,no_title,0,unknown,,House Farrow,0,0,0,1,0,0,1,,0,0.0167224080267558,0,0
94,Richard Lonmouth,no_title,1,unknown,,House Lonmouth,0,0,1,0,0,0,1,,0,0.0234113712374581,1,0
95,Rigney,no_title,1,unknown,,unknown,0,0,0,1,0,0,1,,0,0.0033444816053511,1,0
96,Rob,no_title,1,unknown,,House Osgrey,0,0,0,0,0,0,0,,0,0.0033444816053511,1,0
97,Rickard Tyrell,no_title,1,unknown,,House Tyrell,0,0,1,1,0,0,0,,0,0.123745819397993,1,0
98,Robb Reyne,no_title,1,unknown,,House Reyne,0,0,0,0,0,0,1,,0,0.0066889632107023,1,0
99,Robert Ashford,no_title,1,Reach,,House Ashford,0,0,0,0,0,0,1,,0,0.0234113712374581,1,0
100,Robert Brax (son of Flement),no_title,1,unknown,290.0,House Brax,0,1,1,1,0,0,0,15.0,0,0.120401337792642,1,0
101,Robert Paege,no_title,0,unknown,,House Paege,0,0,1,0,0,0,1,,0,0.0100334448160535,1,0
102,Robb Stark,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,7,1.0,0,0
103,Robin,no_title,1,unknown,,unknown,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
104,Robert Frey (son of Raymund),no_title,1,unknown,283.0,House Frey,0,1,1,1,0,0,0,22.0,0,0.147157190635451,1,0
105,Robin Greyjoy,no_title,1,Ironborn,,House Greyjoy,0,0,0,1,0,0,0,,0,0.0635451505016722,1,0
106,Robin Hollard,no_title,1,unknown,,House Hollard,0,0,0,1,0,0,0,,0,0.0267558528428093,1,0
107,Rodrik Freeborn,no_title,1,Ironborn,,unknown,0,0,0,1,1,0,0,,0,0.0133779264214046,1,0
108,Roelle,no_title,0,unknown,,House Tarth,0,0,0,1,0,0,0,,0,0.0,1,0
109,Rodrik Stark (son of Beron),no_title,1,Northmen,,House Stark,0,0,0,0,1,1,0,,0,0.100334448160535,1,0
110,Roger of Pennytree,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,0,0.0301003344481605,0,0
111,Roggo,no_title,0,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0133779264214046,1,0
112,Roger Ryswell,no_title,1,Northmen,,House Ryswell,0,0,0,1,1,0,0,,0,0.0468227424749163,1,0
113,Rolder,no_title,1,unknown,,House Lannister,0,0,0,1,0,0,0,,0,0.0,1,0
114,Roland Crakehall (Kingsguard),no_title,1,unknown,,House Crakehall,0,0,0,0,0,0,1,,0,0.020066889632107,1,0
115,Rolfe,no_title,1,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0033444816053511,1,0
116,Rolland Darklyn,no_title,1,unknown,,House Darklyn,0,0,0,1,0,0,1,,0,0.0100334448160535,1,0
117,Rollam Westerling,no_title,1,unknown,290.0,House Westerling,0,0,1,1,0,0,0,15.0,0,0.0434782608695652,1,0
118,Romny Weaver,no_title,1,Ironborn,,House Weaver,0,0,0,1,0,0,0,,0,0.020066889632107,1,0
119,Ronald Storm,no_title,1,unknown,,House Connington,0,0,0,0,1,0,0,,0,0.040133779264214,1,0
120,Ronnel Stout,no_title,0,Northmen,,House Stout,0,0,1,0,0,0,0,,0,0.0334448160535117,1,0
121,Ronnel Harclay,no_title,0,unknown,,House Harclay,0,0,1,0,0,0,0,,0,0.0133779264214046,1,0
122,Roone,no_title,1,unknown,286.0,unknown,0,0,0,1,0,0,0,19.0,0,0.040133779264214,1,0
123,Roone (maester),no_title,1,unknown,,unknown,0,0,1,1,0,0,1,,0,0.0100334448160535,1,0
124,Roryn Drumm,no_title,0,Ironborn,,House Drumm,0,0,0,1,0,0,0,,0,0.0033444816053511,1,0
125,Roose Ryswell,no_title,1,Northmen,,House Ryswell,0,0,0,1,1,0,0,,0,0.0301003344481605,1,0
126,Rosamund Lannister,no_title,0,unknown,,House Lannister of Lannisport,0,0,0,1,1,0,0,,0,0.0234113712374581,1,0
127,Rosey,no_title,0,unknown,284.0,unknown,0,0,0,1,0,0,0,21.0,0,0.0301003344481605,1,0
128,Rowan,no_title,1,Free folk,,unknown,0,0,0,0,1,0,0,,0,0.060200668896321,0,0
129,Rudge,no_title,0,unknown,,Night's Watch,1,0,0,0,0,0,0,,0,0.0,1,0
130,Runciter,no_title,1,unknown,,unknown,0,0,0,0,0,0,1,,0,0.244147157190635,0,0
131,Rupert Crabb,no_title,0,unknown,,House Crabb,0,0,0,1,0,0,1,,0,0.0066889632107023,1,0
132,Rus,no_title,0,Ironmen,,Drowned men,0,0,0,1,0,0,0,,0,0.0100334448160535,1,0
133,Rusty Flowers,no_title,1,unknown,,Night's Watch,0,0,0,0,1,0,0,,0,0.0,1,0
134,Ryam,no_title,1,unknown,,unknown,0,0,0,1,0,0,1,,0,0.0133779264214046,1,0
135,Ryk,no_title,1,Free folk,,unknown,0,0,1,1,1,1,0,,0,0.0267558528428093,1,0
136,Ryles,no_title,0,unknown,,Night's Watch,0,0,1,0,0,0,0,,0,0.0133779264214046,0,0
137,Rymolf,no_title,0,Ironborn,,House Greyjoy,0,0,0,0,0,0,0,,0,0.0,1,0
138,S'vrone,no_title,0,Braavosi,,unknown,0,0,0,0,0,0,0,,0,0.0133779264214046,1,0
139,Saathos,no_title,0,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0033444816053511,1,0
140,Sailor's Wife,no_title,0,unknown,,Happy Port,0,0,0,0,0,0,0,,0,0.0468227424749163,1,0
141,Sallor,no_title,1,Qartheen,,Stormcrows,0,0,1,0,0,0,0,,0,0.0301003344481605,0,0
142,Salloreon,no_title,1,unknown,,Antler Men,0,1,0,0,0,0,0,,0,0.0133779264214046,1,0
143,Sam Stoops,no_title,1,unknown,,House Osgrey,0,0,0,0,0,0,0,,0,0.0033444816053511,1,0
144,Samwell Spicer,no_title,1,unknown,,House Spicer,0,0,1,1,0,0,1,,0,0.0133779264214046,1,0
145,Sargon Botley,no_title,1,Ironborn,,House Botley,0,0,0,1,0,0,0,,0,0.0535117056856187,1,0
146,Scarb,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0066889632107023,1,0
147,Sawwood,no_title,1,unknown,,Night's Watch,0,0,1,0,0,0,0,,0,0.0100334448160535,1,0
148,Sedgekins,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0,1,0
149,Sefton Staunton,no_title,1,unknown,,House Staunton,0,0,0,0,0,0,0,,0,0.0301003344481605,1,0
150,Serra,no_title,0,Lysene,,unknown,0,0,0,0,1,1,0,,0,0.0167224080267558,1,0
151,Sharna,no_title,0,unknown,,unknown,0,0,1,1,0,1,0,,0,0.0367892976588628,1,0
152,Shella,no_title,0,unknown,,unknown,1,0,0,0,0,0,0,,0,0.0033444816053511,1,0
153,Sherrit,King,0,unknown,,unknown,0,0,1,0,0,0,1,,0,0.0033444816053511,1,1
154,Shortear,no_title,0,westermen,,House Lannister,0,0,0,1,0,0,0,,0,0.0133779264214046,1,0
155,Shyra,no_title,0,Northmen,,House Stark,0,1,0,1,0,0,0,,0,0.020066889632107,1,0
156,Sigfry Stonetree,no_title,1,Ironborn,,House Stonetree,0,0,0,1,0,0,0,,0,0.0033444816053511,1,0
157,Sigrin,no_title,1,Ironborn,,House Greyjoy,0,1,1,0,0,0,0,,0,0.0234113712374581,1,0
158,Simon Leygood,no_title,0,unknown,,House Leygood,0,0,0,0,0,0,1,,0,0.0033444816053511,1,0
159,Sky Blue Su,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0,1,0
160,Skinner,no_title,1,unknown,,House Bolton,0,0,0,0,1,0,0,,0,0.0334448160535117,1,0
161,Skittrick,no_title,0,Northmen,,House Stark,0,1,0,0,0,0,0,,0,0.0066889632107023,1,0
162,Skyte,no_title,1,Ironborn,,unknown,0,1,1,1,0,0,0,,0,0.0234113712374581,1,0
163,Sloey,no_title,0,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
164,Spare Boot,no_title,1,unknown,,Night's Watch,0,0,1,1,1,0,0,,0,0.0133779264214046,1,0
165,Softfoot,no_title,1,unknown,,Night's Watch,0,0,1,0,0,0,0,,0,0.020066889632107,0,0
166,Spotted Pate of Maidenpool,no_title,1,unknown,,Night's Watch,0,0,1,0,0,0,0,,0,0.0133779264214046,0,0
167,Squint,no_title,0,unknown,,House Greyjoy,0,1,0,0,0,0,0,,0,0.0033444816053511,0,0
168,Squirrel,no_title,0,Free Folk,,unknown,0,0,0,0,1,0,0,,0,0.0434782608695652,0,0
169,Steffarion Sparr,no_title,1,Ironborn,,House Sparr,0,0,0,1,0,0,0,,0,0.020066889632107,1,0
170,Stafford Lannister,no_title,1,Westerman,246.0,House Lannister,1,1,1,1,1,1,1,53.0,1,0.170568561872909,0,0
171,Steffon Fossoway,no_title,1,unknown,,House Fossoway of Cider Hall,0,0,0,0,0,0,1,,0,0.040133779264214,1,0
172,Steffon Hollard,no_title,0,unknown,,House Hollard,0,0,0,1,0,0,1,,0,0.0267558528428093,1,0
173,Stannis Baratheon,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,4,1.0,1,0
174,Steffon Varner,Lord,1,unknown,,House Varner,0,1,0,0,0,0,1,,0,0.0133779264214046,1,1
175,Stone Thumbs,no_title,0,Free Folk,,unknown,0,0,1,0,0,0,0,,0,0.0033444816053511,0,0
176,Stonehand,no_title,0,Ironborn,,unknown,0,0,0,1,1,0,0,,0,0.0100334448160535,1,0
177,Sybassion,no_title,1,Qarth,,unknown,0,1,0,0,0,0,0,,0,0.0133779264214046,1,0
178,Sylas,no_title,0,unknown,,House Greyjoy,0,1,0,0,0,0,0,,0,0.0066889632107023,0,0
179,Symon Stripeback,no_title,1,unknown,,House Targaryen,0,0,0,0,1,0,0,,0,0.0434782608695652,1,0
180,Symond Botley,no_title,1,Ironborn,,House Botley,0,0,0,1,0,0,0,,0,0.0468227424749163,1,0
181,Tagganaro,no_title,1,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0301003344481605,1,0
182,Tal Toraq,no_title,1,Summer Isles,,House Targaryen,0,0,0,0,1,0,0,,0,0.0234113712374581,1,0
183,Talea,no_title,0,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.020066889632107,1,0
184,Talla Tarly,no_title,1,unknown,,House Tarly,0,0,1,0,0,0,0,,0,0.0702341137123745,1,0
185,Tansy,no_title,0,unknown,,Peach,0,0,1,1,0,0,0,,0,0.0234113712374581,1,0
186,Tansy (orphan),no_title,0,unknown,,unknown,0,0,0,1,0,0,0,,0,0.0066889632107023,1,0
187,Tarber,no_title,1,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0334448160535117,1,0
188,Terrance Lynderly,no_title,0,unknown,,House Lynderly,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
189,Terro,no_title,1,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0133779264214046,1,0
190,Theo Frey,no_title,1,unknown,,House Frey,1,0,0,0,0,0,1,,0,0.0133779264214046,1,0
191,Theobald,no_title,1,unknown,,unknown,0,0,0,1,0,0,1,,0,0.020066889632107,1,0
192,Thistle,no_title,0,Free Folk,,unknown,0,0,0,0,1,0,0,,0,0.0167224080267558,0,0
193,Theon Stark,no_title,1,Northmen,,unknown,0,0,0,0,0,0,0,,0,0.0568561872909698,1,0
194,Thormor Ironmaker,no_title,1,Ironborn,,House Ironmaker,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
195,Tim Stone,no_title,0,unknown,,Night's Watch,0,0,1,1,1,0,0,,0,0.0167224080267558,1,0
196,Timon,no_title,0,unknown,,unknown,0,1,1,0,0,0,1,,0,0.0066889632107023,1,0
197,Timett (father),no_title,0,Vale mountain clans,,Burned Men,1,1,0,0,1,0,0,,0,0.0133779264214046,1,0
198,Timoth,no_title,1,unknown,,House Martell,0,0,0,1,0,0,0,,0,0.0066889632107023,1,0
199,Tobbot,no_title,0,unknown,,House Clegane,0,1,0,0,0,0,0,,0,0.0100334448160535,1,0
200,Toefinger,no_title,1,Free Folk,,unknown,0,0,1,1,0,0,0,,0,0.0066889632107023,1,0
201,Todric,no_title,1,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0167224080267558,0,0
202,Tom Costayne,no_title,0,unknown,,House Costayne,0,0,0,1,0,0,1,,0,0.0066889632107023,1,0
203,TomToo,no_title,0,Northmen,,House Stark,0,1,0,0,0,0,0,,0,0.0133779264214046,1,0
204,Tommard Heddle,no_title,1,unknown,,House Heddle,0,0,0,0,0,0,1,,0,0.0468227424749163,0,0
205,Toregg,no_title,1,Free Folk,,unknown,0,0,1,1,1,0,0,,0,0.0267558528428093,1,0
206,Torrek,no_title,0,Vale mountain clans,,Stone Crows,1,0,0,0,0,0,0,,0,0.0,1,0
207,Tothmure,no_title,1,unknown,,unknown,0,1,0,0,0,0,1,,0,0.0133779264214046,0,0
208,Torrhen Stark,no_title,1,Northmen,,unknown,0,0,0,0,0,0,0,,0,0.0903010033444816,1,0
209,Tregar,no_title,0,unknown,,House Lannister,1,0,0,0,0,0,0,,0,0.0066889632107023,0,0
210,Tregar Ormollen,no_title,1,Lyseni,,unknown,0,1,0,1,0,0,0,,0,0.0234113712374581,1,0
211,Tristan Ryger,no_title,0,unknown,,House Ryger,0,0,1,0,0,0,0,,0,0.0066889632107023,1,0
212,Tristifer V Mudd,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,0,0.0167224080267558,1,0
213,Tristimun,no_title,1,unknown,,Sea watch,0,0,1,0,0,0,1,,0,0.0,1,0
214,Tristifer IV Mudd,no_title,1,unknown,,unknown,0,0,0,0,0,0,0,,0,0.0535117056856187,0,0
215,Tuffleberry,no_title,0,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0033444816053511,1,0
216,Tumberjon,no_title,0,unknown,,Night's Watch,0,0,1,0,0,0,0,,0,0.0100334448160535,1,0
217,Tumco Lho,no_title,1,Ghiscari,,unknown,0,0,0,0,1,0,1,,0,0.0301003344481605,1,0
218,Turnip,no_title,0,northmen,,House Stark,0,1,0,1,0,0,0,,0,0.0167224080267558,1,0
219,Turquin,no_title,1,unknown,,unknown,0,0,1,0,0,0,1,,0,0.0033444816053511,1,0
220,Tybero Istarion,no_title,1,unknown,,Second Sons,0,0,0,0,1,0,0,,0,0.0133779264214046,1,0
221,Tymor,no_title,1,unknown,,House Greyjoy,0,1,0,0,0,0,0,,0,0.0066889632107023,1,0
222,Ulf the Ill,no_title,0,Ironborn,,House Greyjoy,0,1,0,0,0,0,0,,0,0.0133779264214046,0,0
223,Tywin Frey (son of Raymund),no_title,1,unknown,299.0,House Frey,0,0,0,1,0,0,0,6.0,0,0.133779264214046,1,0
224,Uller,no_title,1,Ironborn,,House Greyjoy,0,1,1,1,0,0,0,,0,0.0234113712374581,1,0
225,Umar,no_title,0,Vale mountain clans,,Moon Brothers,1,0,0,0,0,0,0,,0,0.0066889632107023,1,0
226,Umfred,no_title,0,unknown,,House Baelish,0,0,1,0,0,0,0,,0,0.0033444816053511,1,0
227,Umma,no_title,0,unknown,,Faceless Men,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
228,Urreg,no_title,0,unknown,,unknown,0,1,0,0,0,0,0,,0,0.0100334448160535,1,0
229,Urek Ironmaker,no_title,1,Ironborn,,House Ironmaker,0,0,0,1,0,0,0,,0,0.0167224080267558,1,0
230,Urrathon,no_title,0,Qartheen,,unknown,0,1,0,0,0,0,0,,0,0.0133779264214046,1,0
231,Urzen,no_title,1,Ironborn,,House Greyjoy,0,1,1,0,0,0,0,,0,0.020066889632107,1,0
232,Urron Greyiron,no_title,1,Ironborn,,unknown,0,0,0,0,0,0,0,,0,0.040133779264214,1,0
233,Urrigon Greyjoy,no_title,1,Ironborn,268.0,House Greyjoy,0,0,0,1,0,0,0,37.0,0,0.0735785953177257,1,0
234,Uthor Underleaf,no_title,1,unknown,181.0,unknown,0,0,0,0,0,0,1,100.0,0,0.0501672240802675,0,0
235,Utt,no_title,1,unknown,,Brave Companions,0,1,1,0,0,0,0,,0,0.0234113712374581,0,0
236,Vaellyn,no_title,1,unknown,,unknown,0,0,0,1,0,0,1,,0,0.0133779264214046,1,0
237,Varly,no_title,0,northmen,,House Stark,1,0,0,0,0,0,0,,0,0.0167224080267558,0,0
238,Veiled Lady,no_title,0,Braavosi,,unknown,0,0,0,1,0,0,0,,0,0.0100334448160535,1,0
239,Vickon Botley,no_title,1,Ironborn,,House Botley,0,0,0,1,0,0,0,,0,0.0468227424749163,1,0
240,Violet,no_title,0,unknown,,unknown,0,0,1,0,0,0,0,,0,0.0,1,0
241,Victor Tyrell,no_title,0,unknown,,House Tyrell,0,0,1,1,0,0,1,,0,0.123745819397993,1,0
